,s,r,n,sol,file,datetime,experiment,seed
180,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:28,hashing_experiment.py,10
181,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:28,hashing_experiment.py,10
182,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
183,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
184,1,6,965,2208,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
185,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
186,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
187,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
188,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
189,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:29,hashing_experiment.py,10
190,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:30,hashing_experiment.py,10
191,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:30,hashing_experiment.py,10
192,1,6,965,2304,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:30,hashing_experiment.py,10
193,1,6,965,15168,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:30,hashing_experiment.py,10
194,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:30,hashing_experiment.py,10
195,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:30,hashing_experiment.py,10
196,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:31,hashing_experiment.py,10
197,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:31,hashing_experiment.py,10
198,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:31,hashing_experiment.py,10
199,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:31,hashing_experiment.py,10
200,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:32,hashing_experiment.py,10
201,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:32,hashing_experiment.py,10
202,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:32,hashing_experiment.py,10
