m_upper: 1024, m_lower 960, m: 992, i: 37, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 38, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 39, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 40, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 41, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 42, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 43, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 44, last_sol: 547896
m_upper: 1024, m_lower 960, m: 992, i: 45, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 46, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 47, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 48, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 49, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 50, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 51, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 52, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 53, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 54, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 55, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 56, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 57, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 58, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 59, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 60, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 61, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 62, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 63, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 64, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 65, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 66, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 67, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 68, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 69, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 70, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 71, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 72, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 73, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 74, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 75, last_sol: 48219720
m_upper: 1024, m_lower 960, m: 992, i: 76, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 77, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 78, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 79, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 80, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 81, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 82, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 83, last_sol: 22929408
m_upper: 1024, m_lower 960, m: 992, i: 84, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 85, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 86, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 87, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 88, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 89, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 90, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 91, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 92, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 93, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 94, last_sol: 0
